country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",28-11-2025 11:00:00,23.023389,72.515201,OZONE,1,61,12
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",28-11-2025 11:00:00,23.076793,72.627874,NH3,3,7,5
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",28-11-2025 11:00:00,21.613267,73.010555,NH3,7,8,7
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",28-11-2025 11:00:00,21.613267,73.010555,CO,29,83,63
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",28-11-2025 11:00:00,23.243639,72.68994,NH3,2,3,2
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",28-11-2025 11:00:00,23.221714,72.654328,PM10,63,122,91
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",28-11-2025 11:00:00,28.563262,77.186937,NO2,56,180,105
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",28-11-2025 11:00:00,28.563262,77.186937,CO,61,169,116
India,Delhi,Delhi,"Rohini, Delhi - DPCC",28-11-2025 11:00:00,28.732528,77.11992,PM2.5,308,500,427
India,Delhi,Delhi,"Rohini, Delhi - DPCC",28-11-2025 11:00:00,28.732528,77.11992,PM10,197,500,398
India,Delhi,Delhi,"Rohini, Delhi - DPCC",28-11-2025 11:00:00,28.732528,77.11992,SO2,9,26,15
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",28-11-2025 11:00:00,28.6514781,77.1473105,NO2,71,193,128
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",28-11-2025 11:00:00,28.6514781,77.1473105,CO,11,147,108
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",28-11-2025 11:00:00,28.5504249,77.2159377,PM2.5,321,500,396
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28-11-2025 11:00:00,28.593883,76.270653,CO,10,25,13
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28-11-2025 11:00:00,28.2068,76.7997,PM2.5,303,500,389
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28-11-2025 11:00:00,28.2068,76.7997,PM10,164,500,325
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",28-11-2025 11:00:00,28.39072,77.30059,OZONE,26,34,30
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",28-11-2025 11:00:00,28.376058,77.315741,NO2,30,32,31
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",28-11-2025 11:00:00,28.710508,77.249485,PM2.5,203,500,359
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",28-11-2025 11:00:00,28.710508,77.249485,CO,67,172,120
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28-11-2025 11:00:00,28.531346,77.190156,OZONE,1,168,8
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",28-11-2025 11:00:00,28.672342,77.31526,PM2.5,236,500,390
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",28-11-2025 11:00:00,28.672342,77.31526,PM10,157,500,331
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",28-11-2025 11:00:00,23.020509,72.579261,CO,21,112,26
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",28-11-2025 11:00:00,23.020509,72.579261,OZONE,3,98,34
